username,tweetcreatedat,text
PijaMoris,2022-10-05 23:59:59+00:00,@fedtriyahya Selawat yg ustaz wadi anuar selalu sebut dalam kuliah dia. X hengat aih nama padia.
akaipinheel,2022-10-05 23:59:52+00:00,@collegemenfess siapa yang ngira dulu kalo mau jadi polisi harus kuliah dulu? 😔☝️
buyny,2022-10-05 23:59:52+00:00,"sebenernya aku gak kuat ya Allah kalo kuliah pagi, tapi lebih ga kuat lagi kuliah malem. boleh nggak aku kuliah jam 10 sampe jam 12 aja"
bungwol,2022-10-05 23:59:22+00:00,YaAllah w yg dulu kuliah PP tangsel rawamangun aje dah misuh2 mulu tiap hari krn bolak-balik dah 4 jam sendiri 😭 https://t.co/p393eM6WNN
newaccautoflbck,2022-10-05 23:59:18+00:00,ptn! kuliah di upnvj gapapa kan? https://t.co/YibN0wFl5H
tapibohoonk,2022-10-05 23:59:15+00:00,[cm] kalian sering kehilangan ambis gak sih pas kuliah kayak “gak sesemangat dulu” gitu https://t.co/VLtjYUsdQx
cutmybutter2fly,2022-10-05 23:59:14+00:00,"TWITTER PLEASE DO YOUR MAGIC

entah ini work it or not, aku coba ngetweet dulu. Jadi gini, adik aku kan kuliah di salah satu univ di tangerang. Dan dia udah sampe pada penyusunan skripsi. Tapi yang jadi kendalanya dia sekarang, laptopnya dia tuh lola kalau dipake ketik."
bydamieee,2022-10-05 23:59:13+00:00,CLAP UDH ADA CHALLENGE NYA BLM SI??? PGN JOINNN SM TMN KULIAH KEKNYA SERU🥹
ifaachill,2022-10-05 23:59:11+00:00,[cm] kalian sering kehilangan ambis gak sih pas kuliah kayak “gak sesemangat dulu” gitu https://t.co/VLtjYUsdQx
FukeinaKo,2022-10-05 23:58:53+00:00,Tidur jam 3. Bangun 6.20. Kuliah 6.30
dibawahpressure,2022-10-05 23:58:44+00:00,Riiill. Dari aku SD sampe sekarang kuliah kebun papaku belum balik modal https://t.co/uFXou2760I
shantie_chua,2022-10-05 23:58:35+00:00,"@kenanganSisa Kan kuliah e ndek Semarang , dan Semarang kan hawanya panas kurang minum air putih , jadi minum e soft drink , es teh , Kratingdaeng gitu efeknya ginjal e rusak"
wsssss4646,2022-10-05 23:58:30+00:00,"kuliah rapat, kuliah rapat. tipes"
wheresminehuh,2022-10-05 23:57:56+00:00,"Gara"" mimpiin doi di kelas jadi semangat kuliah,sat set sat set.
Eh anjg malah salah baca jadwal
Harusnya dtg jm 10 gw malah dtg jm 7 bangsattt,emng klo udh jatuh cinta jadi goblok ye"
RudyCahyo66,2022-10-05 23:57:48+00:00,"Megawati Soekarnoputri beri Kuliah Umum kepada Perwira TNI AL di Seskoal

Megawati Soekarnoputri beri Kuliah Umum kepada perwira TNI AL https://t.co/L04aKtzySJ"
jeonguwoo,2022-10-05 23:57:31+00:00,udah 3 hari gak kuliah karena kelas batal terus.
fourmoremerch,2022-10-05 23:57:27+00:00,"Seorang dosen di Universitas Glasgow, Skotlandia, menganjurkan mahasiswanya agar aktif nge-tweet saat kuliah berlangsung #fourmoremerch"
ccutienjun,2022-10-05 23:57:27+00:00,hujan gini jdi mls kuliah...
adyarsah,2022-10-05 23:57:23+00:00,@Wira19298 Males kuliah juga aseli
Armyajaudah,2022-10-05 23:57:22+00:00,"@sbmptnfess Kuliah bljr, les bljr gt"
mas_mas_Jawaa,2022-10-05 23:57:19+00:00,"@collegemenfess ga penting sih, rata"" orang yg sukses itu ngga pacaran.. 
aku pernah denger motivator bahwa, ""kita terlalu punya banyak waktu luang sehingga bisa untuk pacaran, sedangkan di masa masa kuliah itu adalah masa terbaik untuk membentuk kepribadian dan prestasi lebih baik lagi"""
Sabrina3aisyah,2022-10-05 23:57:17+00:00,"Kasian sih ke cewenya 
Di selingkuhi berkali kali masih bertahan dan begonya mau aja di suruh ngerjain semua tugas kuliah si cowo."
BBAEXHYVN,2022-10-05 23:56:57+00:00,🙂🙂 gimana mau kuliah coy kalo semua jalan banjir begini
Bylaxx_,2022-10-05 23:56:51+00:00,"@sbyfess -karena gua percaya sih, semua itu kadarnya bukan mampu ga mampu tapi niat apa ganiat. Gua juga dlu kuliah jajan cuma 30rb kdg masih bisa kok bikin kejutan buat pasar gua waktu meski sederhana."
hiraethhv,2022-10-05 23:56:42+00:00,morning gaiss klo klian ikut anisd rep aj gwe mau ngehypein klian juga tpi ntar rada siangan skrg ngantuk bgt mau kuliah dlu ok bye smangat smuaa
arieo,2022-10-05 23:56:39+00:00,@foreslhadow km kuliah untuk belajar atau untuk stress bang
strawbeyicake,2022-10-05 23:56:35+00:00,@redwomansan ktaku mnding km kuliah krjain tugasmu yg segambreng itu
startedwithc,2022-10-05 23:56:30+00:00,hectic emang kuliah jam segini macet poll
Fery49857895,2022-10-05 23:56:29+00:00,"Kenapa ga ada foto Wisuda ? Tak ada teman kuliah!?  kapan kuliah ? 
Rakyat tunggu kejujuran Jokowi siapa dia sebentarnya? 
#RIDamaiTanpaPolisi
#RIDamaiTanpaPolisi
Istana Angkat Bicara Soal Presiden Jokowi Digugat ke Pengadilan Atas Dugaan Ijazah Palsu https://t.co/aHrqD8I8VE"
skelrton,2022-10-05 23:56:28+00:00,@ssefnum kuliah
friska1110,2022-10-05 23:56:04+00:00,@dhiks27 @MamatAlkatiri Makanya kuliah di Indonesia aja biar bisa bedain sarkas dan satire mbak DPR.. Gemes amat mamat.. 😅
sadlymady,2022-10-05 23:56:03+00:00,apa gausah kuliah aja ya
dinosalshurs,2022-10-05 23:56:01+00:00,satu lagu buat deskripsiin kuliah offline semester ini di ITB : https://t.co/krz704RJoG
wsolfie,2022-10-05 23:55:30+00:00,"@ssefnum kuliah siang tapi berangkat tetep pagi, kerkom."
Raeun_park,2022-10-05 23:55:19+00:00,"@amazingbloop hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:55:16+00:00,"@jisooloqal hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:55:12+00:00,"@rubydeninii hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
sicalonsultan,2022-10-05 23:55:08+00:00,"@curhatanpublik apa si jokowi pas kuliah ga punya teman? teman kampus,teman kosan? smp saat ini ga ada 1 org ngaku kenal dgn jokowi waktu dikampus, bahkan pihak ugm juga blm klarifikasi? #ijasahpalsu"
pshwateez,2022-10-05 23:55:07+00:00,ptn! kuliah di top 30 an gapapa kan ya?🥺🥺🥺🥺 https://t.co/PakFB6oZgc
Raeun_park,2022-10-05 23:55:07+00:00,"@IiIunar hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:55:03+00:00,"@arzakany hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
