username,tweetcreatedat,text,clean_text,remove_symb,clean_text_two,case_fold,tokenize,data
PijaMoris,2022-10-05 23:59:59+00:00,@fedtriyahya Selawat yg ustaz wadi anuar selalu sebut dalam kuliah dia. X hengat aih nama padia., Selawat yg ustaz wadi anuar selalu sebut dalam kuliah dia. X hengat aih nama padia.,Selawat yg ustaz wadi anuar selalu sebut dalam kuliah dia X hengat aih nama padia,Selawat yg ustaz wadi anuar selalu sebut dalam kuliah dia X hengat aih nama padia,selawat yg ustaz wadi anuar selalu sebut dalam kuliah dia x hengat aih nama padia,"['selawat', 'ustaz', 'wadi', 'anuar', 'kuliah', 'hengat', 'aih', 'nama', 'padia']",selawat ustaz wadi anuar kuliah hengat aih nama padia
akaipinheel,2022-10-05 23:59:52+00:00,@collegemenfess siapa yang ngira dulu kalo mau jadi polisi harus kuliah dulu? 😔☝️, siapa yang ngira dulu kalo mau jadi polisi harus kuliah dulu? 😔☝️,siapa yang ngira dulu kalo mau jadi polisi harus kuliah dulu,siapa yang ngira dulu kalo mau jadi polisi harus kuliah dulu,siapa yang ngira dulu kalo mau jadi polisi harus kuliah dulu,"['ngira', 'kalo', 'polisi', 'kuliah']",ngira kalo polisi kuliah
buyny,2022-10-05 23:59:52+00:00,"sebenernya aku gak kuat ya Allah kalo kuliah pagi, tapi lebih ga kuat lagi kuliah malem. boleh nggak aku kuliah jam 10 sampe jam 12 aja","sebenernya aku gak kuat ya Allah kalo kuliah pagi, tapi lebih ga kuat lagi kuliah malem. boleh nggak aku kuliah jam 10 sampe jam 12 aja",sebenernya aku gak kuat ya Allah kalo kuliah pagi tapi lebih ga kuat lagi kuliah malem boleh nggak aku kuliah jam 10 sampe jam 12 aja,sebenernya aku gak kuat ya Allah kalo kuliah pagi tapi lebih ga kuat lagi kuliah malem boleh nggak aku kuliah jam  sampe jam  aja,sebenernya aku gak kuat ya allah kalo kuliah pagi tapi lebih ga kuat lagi kuliah malem boleh nggak aku kuliah jam  sampe jam  aja,"['sebenernya', 'gak', 'kuat', 'allah', 'kalo', 'kuliah', 'pagi', 'kuat', 'kuliah', 'malem', 'nggak', 'kuliah', 'jam', 'sampe', 'jam', 'aja']",sebenernya gak kuat allah kalo kuliah pagi kuat kuliah malem nggak kuliah jam sampe jam aja
bungwol,2022-10-05 23:59:22+00:00,YaAllah w yg dulu kuliah PP tangsel rawamangun aje dah misuh2 mulu tiap hari krn bolak-balik dah 4 jam sendiri 😭 https://t.co/p393eM6WNN,YaAllah w yg dulu kuliah PP tangsel rawamangun aje dah misuh2 mulu tiap hari krn bolak-balik dah 4 jam sendiri 😭 https://t.co/p393eM6WNN,YaAllah w yg dulu kuliah PP tangsel rawamangun aje dah misuh2 mulu tiap hari krn bolak balik dah 4 jam sendiri,YaAllah w yg dulu kuliah PP tangsel rawamangun aje dah misuh mulu tiap hari krn bolak balik dah  jam sendiri,yaallah w yg dulu kuliah pp tangsel rawamangun aje dah misuh mulu tiap hari krn bolak balik dah  jam sendiri,"['yaallah', 'kuliah', 'pp', 'tangsel', 'rawamangun', 'aje', 'dah', 'misuh', 'mulu', 'bolak', 'dah', 'jam']",yaallah kuliah pp tangsel rawamangun aje dah misuh mulu bolak dah jam
newaccautoflbck,2022-10-05 23:59:18+00:00,ptn! kuliah di upnvj gapapa kan? https://t.co/YibN0wFl5H,ptn! kuliah di upnvj gapapa kan? https://t.co/YibN0wFl5H,ptn kuliah di upnvj gapapa kan,ptn kuliah di upnvj gapapa kan,ptn kuliah di upnvj gapapa kan,"['ptn', 'kuliah', 'upnvj', 'gapapa']",ptn kuliah upnvj gapapa
tapibohoonk,2022-10-05 23:59:15+00:00,[cm] kalian sering kehilangan ambis gak sih pas kuliah kayak “gak sesemangat dulu” gitu https://t.co/VLtjYUsdQx,[cm] kalian sering kehilangan ambis gak sih pas kuliah kayak “gak sesemangat dulu” gitu https://t.co/VLtjYUsdQx,cm kalian sering kehilangan ambis gak sih pas kuliah kayak gak sesemangat dulu gitu,kalian sering kehilangan ambis gak sih pas kuliah kayak gak sesemangat dulu gitu,kalian sering kehilangan ambis gak sih pas kuliah kayak gak sesemangat dulu gitu,"['hilang', 'ambis', 'gak', 'pas', 'kuliah', 'kayak', 'gak', 'semangat', 'gitu']",hilang ambis gak pas kuliah kayak gak semangat gitu
cutmybutter2fly,2022-10-05 23:59:14+00:00,"TWITTER PLEASE DO YOUR MAGIC

entah ini work it or not, aku coba ngetweet dulu. Jadi gini, adik aku kan kuliah di salah satu univ di tangerang. Dan dia udah sampe pada penyusunan skripsi. Tapi yang jadi kendalanya dia sekarang, laptopnya dia tuh lola kalau dipake ketik.","TWITTEPLEASE DO YOUMAGIC

entah ini work it or not, aku coba ngetweet dulu. Jadi gini, adik aku kan kuliah di salah satu univ di tangerang. Dan dia udah sampe pada penyusunan skripsi. Tapi yang jadi kendalanya dia sekarang, laptopnya dia tuh lola kalau dipake ketik.",TWITTEPLEASE DO YOUMAGIC entah ini work it or not aku coba ngetweet dulu Jadi gini adik aku kan kuliah di salah satu univ di tangerang Dan dia udah sampe pada penyusunan skripsi Tapi yang jadi kendalanya dia sekarang laptopnya dia tuh lola kalau dipake ketik,TWITTEPLEASE DO YOUMAGIC entah ini work it or not aku coba ngetweet dulu Jadi gini adik aku kan kuliah di salah satu univ di tangerang Dan dia udah sampe pada penyusunan skripsi Tapi yang jadi kendalanya dia sekarang laptopnya dia tuh lola kalau dipake ketik,twitteplease do youmagic entah ini work it or not aku coba ngetweet dulu jadi gini adik aku kan kuliah di salah satu univ di tangerang dan dia udah sampe pada penyusunan skripsi tapi yang jadi kendalanya dia sekarang laptopnya dia tuh lola kalau dipake ketik,"['twitteplease', 'do', 'youmagic', 'work', 'it', 'or', 'not', 'coba', 'ngetweet', 'gin', 'adik', 'kuliah', 'salah', 'univ', 'tangerang', 'udah', 'sampe', 'susun', 'skripsi', 'kendala', 'laptop', 'tuh', 'lola', 'dipake', 'ketik']",twitteplease do youmagic work it or not coba ngetweet gin adik kuliah salah univ tangerang udah sampe susun skripsi kendala laptop tuh lola dipake ketik
bydamieee,2022-10-05 23:59:13+00:00,CLAP UDH ADA CHALLENGE NYA BLM SI??? PGN JOINNN SM TMN KULIAH KEKNYA SERU🥹,CLAP UDH ADA CHALLENGE NYA BLM SI??? PGN JOINNN SM TMN KULIAH KEKNYA SERU🥹,CLAP UDH ADA CHALLENGE NYA BLM SI PGN JOINNN SM TMN KULIAH KEKNYA SERU,CLAP UDH ADA CHALLENGE NYA BLM SI PGN JOINNN SM TMN KULIAH KEKNYA SERU,clap udh ada challenge nya blm si pgn joinnn sm tmn kuliah keknya seru,"['clap', 'challenge', 'blm', 'pgn', 'joinnn', 'sm', 'tmn', 'kuliah', 'kek', 'seru']",clap challenge blm pgn joinnn sm tmn kuliah kek seru
FukeinaKo,2022-10-05 23:58:53+00:00,Tidur jam 3. Bangun 6.20. Kuliah 6.30,Tidur jam 3. Bangun 6.20. Kuliah 6.30,Tidur jam 3 Bangun 6 20 Kuliah 6 30,Tidur jam  Bangun   Kuliah  ,tidur jam  bangun   kuliah  ,"['tidur', 'jam', 'bangun', 'kuliah']",tidur jam bangun kuliah
dibawahpressure,2022-10-05 23:58:44+00:00,Riiill. Dari aku SD sampe sekarang kuliah kebun papaku belum balik modal https://t.co/uFXou2760I,Riiill. Dari aku SD sampe sekarang kuliah kebun papaku belum balik modal https://t.co/uFXou2760I,Riiill Dari aku SD sampe sekarang kuliah kebun papaku belum balik modal,Riiill Dari aku SD sampe sekarang kuliah kebun papaku belum balik modal,riiill dari aku sd sampe sekarang kuliah kebun papaku belum balik modal,"['riiill', 'sd', 'sampe', 'kuliah', 'kebun', 'papa', 'modal']",riiill sd sampe kuliah kebun papa modal
shantie_chua,2022-10-05 23:58:35+00:00,"@kenanganSisa Kan kuliah e ndek Semarang , dan Semarang kan hawanya panas kurang minum air putih , jadi minum e soft drink , es teh , Kratingdaeng gitu efeknya ginjal e rusak"," Kan kuliah e ndek Semarang , dan Semarang kan hawanya panas kurang minum air putih , jadi minum e soft drink , es teh , Kratingdaeng gitu efeknya ginjal e rusak",Kan kuliah e ndek Semarang dan Semarang kan hawanya panas kurang minum air putih jadi minum e soft drink es teh Kratingdaeng gitu efeknya ginjal e rusak,Kan kuliah e ndek Semarang dan Semarang kan hawanya panas kurang minum air putih jadi minum e soft drink es teh Kratingdaeng gitu efeknya ginjal e rusak,kan kuliah e ndek semarang dan semarang kan hawanya panas kurang minum air putih jadi minum e soft drink es teh kratingdaeng gitu efeknya ginjal e rusak,"['kuliah', 'ndek', 'semarang', 'semarang', 'hawa', 'panas', 'minum', 'air', 'putih', 'minum', 'soft', 'drink', 'es', 'teh', 'kratingdaeng', 'gitu', 'efek', 'ginjal', 'rusak']",kuliah ndek semarang semarang hawa panas minum air putih minum soft drink es teh kratingdaeng gitu efek ginjal rusak
wsssss4646,2022-10-05 23:58:30+00:00,"kuliah rapat, kuliah rapat. tipes","kuliah rapat, kuliah rapat. tipes",kuliah rapat kuliah rapat tipes,kuliah rapat kuliah rapat tipes,kuliah rapat kuliah rapat tipes,"['kuliah', 'rapat', 'kuliah', 'rapat', 'tipes']",kuliah rapat kuliah rapat tipes
wheresminehuh,2022-10-05 23:57:56+00:00,"Gara"" mimpiin doi di kelas jadi semangat kuliah,sat set sat set.
Eh anjg malah salah baca jadwal
Harusnya dtg jm 10 gw malah dtg jm 7 bangsattt,emng klo udh jatuh cinta jadi goblok ye","Gara"" mimpiin doi di kelas jadi semangat kuliah,sat set sat set.
Eh anjg malah salah baca jadwal
Harusnya dtg jm 10 gw malah dtg jm 7 bangsattt,emng klo udh jatuh cinta jadi goblok ye",Gara mimpiin doi di kelas jadi semangat kuliah sat set sat set Eh anjg malah salah baca jadwal Harusnya dtg jm 10 gw malah dtg jm 7 bangsattt emng klo udh jatuh cinta jadi goblok ye,Gara mimpiin doi di kelas jadi semangat kuliah sat set sat set Eh anjg malah salah baca jadwal Harusnya dtg jm  gw malah dtg jm  bangsattt emng klo udh jatuh cinta jadi goblok ye,gara mimpiin doi di kelas jadi semangat kuliah sat set sat set eh anjg malah salah baca jadwal harusnya dtg jm  gw malah dtg jm  bangsattt emng klo udh jatuh cinta jadi goblok ye,"['gara', 'mimpiin', 'doi', 'kelas', 'semangat', 'kuliah', 'sat', 'set', 'sat', 'set', 'eh', 'anjg', 'salah', 'baca', 'jadwal', 'dtg', 'jm', 'dtg', 'jm', 'bangsattt', 'emng', 'klo', 'jatuh', 'cinta', 'goblok', 'ye']",gara mimpiin doi kelas semangat kuliah sat set sat set eh anjg salah baca jadwal dtg jm dtg jm bangsattt emng klo jatuh cinta goblok ye
RudyCahyo66,2022-10-05 23:57:48+00:00,"Megawati Soekarnoputri beri Kuliah Umum kepada Perwira TNI AL di Seskoal

Megawati Soekarnoputri beri Kuliah Umum kepada perwira TNI AL https://t.co/L04aKtzySJ","Megawati Soekarnoputri beri Kuliah Umum kepada Perwira TNI AL di Seskoal

Megawati Soekarnoputri beri Kuliah Umum kepada perwira TNI AL https://t.co/L04aKtzySJ",Megawati Soekarnoputri beri Kuliah Umum kepada Perwira TNI AL di Seskoal Megawati Soekarnoputri beri Kuliah Umum kepada perwira TNI AL,Megawati Soekarnoputri beri Kuliah Umum kepada Perwira TNI AL di Seskoal Megawati Soekarnoputri beri Kuliah Umum kepada perwira TNI AL,megawati soekarnoputri beri kuliah umum kepada perwira tni al di seskoal megawati soekarnoputri beri kuliah umum kepada perwira tni al,"['megawati', 'soekarnoputri', 'kuliah', 'umum', 'perwira', 'tni', 'al', 'seskoal', 'megawati', 'soekarnoputri', 'kuliah', 'umum', 'perwira', 'tni', 'al']",megawati soekarnoputri kuliah umum perwira tni al seskoal megawati soekarnoputri kuliah umum perwira tni al
jeonguwoo,2022-10-05 23:57:31+00:00,udah 3 hari gak kuliah karena kelas batal terus.,udah 3 hari gak kuliah karena kelas batal terus.,udah 3 hari gak kuliah karena kelas batal terus,udah  hari gak kuliah karena kelas batal terus,udah  hari gak kuliah karena kelas batal terus,"['udah', 'gak', 'kuliah', 'kelas', 'batal']",udah gak kuliah kelas batal
fourmoremerch,2022-10-05 23:57:27+00:00,"Seorang dosen di Universitas Glasgow, Skotlandia, menganjurkan mahasiswanya agar aktif nge-tweet saat kuliah berlangsung #fourmoremerch","Seorang dosen di Universitas Glasgow, Skotlandia, menganjurkan mahasiswanya agar aktif nge-tweet saat kuliah berlangsung #fourmoremerch",Seorang dosen di Universitas Glasgow Skotlandia menganjurkan mahasiswanya agar aktif nge tweet saat kuliah berlangsung fourmoremerch,Seorang dosen di Universitas Glasgow Skotlandia menganjurkan mahasiswanya agar aktif nge tweet saat kuliah berlangsung fourmoremerch,seorang dosen di universitas glasgow skotlandia menganjurkan mahasiswanya agar aktif nge tweet saat kuliah berlangsung fourmoremerch,"['dosen', 'universitas', 'glasgow', 'skotlandia', 'anjur', 'mahasiswa', 'aktif', 'nge', 'tweet', 'kuliah', 'fourmoremerch']",dosen universitas glasgow skotlandia anjur mahasiswa aktif nge tweet kuliah fourmoremerch
ccutienjun,2022-10-05 23:57:27+00:00,hujan gini jdi mls kuliah...,hujan gini jdi mls kuliah...,hujan gini jdi mls kuliah,hujan gini jdi mls kuliah,hujan gini jdi mls kuliah,"['hujan', 'gin', 'jdi', 'kuliah']",hujan gin jdi kuliah
adyarsah,2022-10-05 23:57:23+00:00,@Wira19298 Males kuliah juga aseli, Males kuliah juga aseli,Males kuliah juga aseli,Males kuliah juga aseli,males kuliah juga aseli,"['males', 'kuliah', 'aseli']",males kuliah aseli
Armyajaudah,2022-10-05 23:57:22+00:00,"@sbmptnfess Kuliah bljr, les bljr gt"," Kuliah bljr, les bljr gt",Kuliah bljr les bljr gt,Kuliah bljr les bljr gt,kuliah bljr les bljr gt,"['kuliah', 'bljr', 'les', 'bljr']",kuliah bljr les bljr
mas_mas_Jawaa,2022-10-05 23:57:19+00:00,"@collegemenfess ga penting sih, rata"" orang yg sukses itu ngga pacaran.. 
aku pernah denger motivator bahwa, ""kita terlalu punya banyak waktu luang sehingga bisa untuk pacaran, sedangkan di masa masa kuliah itu adalah masa terbaik untuk membentuk kepribadian dan prestasi lebih baik lagi"""," ga penting sih, rata"" orang yg sukses itu ngga pacaran.. 
aku pernah denger motivator bahwa, ""kita terlalu punya banyak waktu luang sehingga bisa untuk pacaran, sedangkan di masa masa kuliah itu adalah masa terbaik untuk membentuk kepribadian dan prestasi lebih baik lagi""",ga penting sih rata orang yg sukses itu ngga pacaran aku pernah denger motivator bahwa kita terlalu punya banyak waktu luang sehingga bisa untuk pacaran sedangkan di masa masa kuliah itu adalah masa terbaik untuk membentuk kepribadian dan prestasi lebih baik lagi,ga penting sih rata orang yg sukses itu ngga pacaran aku pernah denger motivator bahwa kita terlalu punya banyak waktu luang sehingga bisa untuk pacaran sedangkan di masa masa kuliah itu adalah masa terbaik untuk membentuk kepribadian dan prestasi lebih baik lagi,ga penting sih rata orang yg sukses itu ngga pacaran aku pernah denger motivator bahwa kita terlalu punya banyak waktu luang sehingga bisa untuk pacaran sedangkan di masa masa kuliah itu adalah masa terbaik untuk membentuk kepribadian dan prestasi lebih baik lagi,"['rata', 'sukses', 'ngga', 'pacar', 'denger', 'motivator', 'waktu', 'luang', 'pacar', 'kuliah', 'baik', 'bentuk', 'pribadi', 'prestasi']",rata sukses ngga pacar denger motivator waktu luang pacar kuliah baik bentuk pribadi prestasi
